recency,sales,zip_code,newbie,channel,segment,product_category,age,frequency,gender
7,94.96,Rural,0,Brick&Mortar,Single,3,52,3,female
6,599.86,Rural,1,Brick&Mortar,Married,2,21,1,female
10,133.24,Surburban,1,Web,Single,4,41,7,female
2,228.98,Surburban,0,Brick&Mortar,Single,2,26,7,female
9,252.5,Urban,0,Brick&Mortar,Single,6,24,2,male
3,105.4,Rural,1,Brick&Mortar,Married,3,45,3,female
6,177.56,Rural,1,Brick&Mortar,Married,1,30,7,male
1,339.06,Urban,0,Web,Married,6,44,3,male
1,703.43,Urban,1,Social,Married,3,24,2,female
4,826.07,Surburban,1,Web,Single,6,46,7,female
3,29.99,Surburban,1,Brick&Mortar,Married,3,40,8,male
4,54.88,Surburban,1,Brick&Mortar,Single,2,23,1,female
2,91.31,Urban,1,Web,Married with children,2,29,8,male
10,34.56,Rural,0,Brick&Mortar,Married with children,4,37,3,female
7,97.94,Surburban,1,Brick&Mortar,Single,3,35,6,female
10,29.99,Urban,0,Brick&Mortar,Single,3,26,1,male
9,147.87,Surburban,1,Web,Married with children,4,35,4,male
1,728.6,Urban,1,Web,Single,1,20,1,both
6,29.99,Urban,0,Web,Married,4,36,9,female
10,128.22,Rural,1,Brick&Mortar,Married,1,29,10,male
10,41.58,Surburban,1,Web,Single,2,20,9,female
5,29.99,Urban,0,Web,Married with children,5,54,9,female
11,589.51,Urban,1,Brick&Mortar,Married,4,34,7,female
9,29.99,Surburban,1,Web,Single,4,34,1,female
1,29.99,Surburban,1,Brick&Mortar,Married,4,36,3,female
11,171.71,Urban,0,Web,Married with children,5,29,6,male
10,497.84,Urban,0,Social,Married,5,55,5,both
10,283.5,Surburban,0,Brick&Mortar,Married with children,1,48,6,male
12,30.73,Urban,1,Web,Married,2,42,5,male
3,32.55,Urban,0,Brick&Mortar,Married with children,2,18,2,female
1,245.09,Rural,1,Web,Married with children,2,39,10,female
2,130.01,Surburban,1,Web,Married,6,45,3,female
8,189.34,Surburban,0,Web,Single,2,22,6,female
4,114.87,Rural,1,Web,Single,6,49,5,female
1,434.03,Surburban,0,Web,Married with children,1,21,2,both
8,530.42,Surburban,1,Brick&Mortar,Married with children,2,22,5,female
9,29.99,Urban,1,Web,Married,4,34,8,male
2,29.99,Surburban,1,Web,Married,3,43,10,male
2,258.95,Urban,0,Social,Single,4,42,3,male
2,1442.56,Surburban,1,Web,Married,4,37,1,female
4,408.44,Rural,0,Brick&Mortar,Married with children,1,19,2,male
11,83.03,Urban,1,Web,Married with children,4,39,1,male
9,41.97,Urban,0,Web,Single,4,43,10,female
2,32.18,Surburban,1,Web,Married with children,3,35,9,male
7,223.97,Surburban,1,Brick&Mortar,Married,6,52,4,female
5,51.8,Urban,1,Web,Married,1,26,8,female
9,84.33,Surburban,1,Web,Single,2,18,6,male
10,29.99,Surburban,0,Web,Married,4,40,6,female
2,125.14,Surburban,1,Brick&Mortar,Married with children,4,32,10,male
7,474.02,Urban,0,Web,Single,2,24,4,both
6,199.25,Surburban,1,Brick&Mortar,Single,5,19,1,female
1,372.74,Surburban,0,Brick&Mortar,Single,2,30,6,female
1,29.99,Surburban,1,Web,Married with children,2,23,6,female
4,258.31,Urban,0,Brick&Mortar,Married with children,2,20,8,both
8,87.48,Urban,1,Web,Single,1,22,6,female
12,30.74,Urban,0,Brick&Mortar,Single,2,24,10,female
8,208.35,Surburban,0,Brick&Mortar,Married with children,6,22,3,female
10,214.61,Urban,1,Social,Married with children,3,34,2,female
8,29.99,Urban,1,Brick&Mortar,Married,2,37,3,female
8,221.29,Urban,0,Brick&Mortar,Single,3,36,2,male
5,349.03,Rural,0,Brick&Mortar,Married with children,3,34,7,male
6,243.04,Urban,0,Brick&Mortar,Single,6,49,8,male
1,288.64,Urban,1,Web,Married with children,6,36,10,female
11,78.29,Urban,0,Web,Married,5,45,5,male
1,226.28,Rural,0,Social,Married,5,37,9,male
7,36,Surburban,1,Web,Single,4,25,7,male
7,338.29,Surburban,0,Brick&Mortar,Married with children,4,31,1,male
5,81.9,Rural,0,Brick&Mortar,Married,1,39,1,male
1,34.19,Surburban,1,Web,Single,4,43,7,female
3,364.23,Urban,0,Social,Married,5,52,4,male
1,414,Urban,1,Brick&Mortar,Married with children,6,26,3,both
8,141.92,Surburban,0,Web,Single,4,38,9,male
2,596.1,Surburban,1,Social,Married with children,2,20,1,female
3,317.52,Surburban,0,Brick&Mortar,Single,4,43,10,female
3,383.34,Urban,0,Web,Married,2,18,9,male
5,323.49,Surburban,0,Web,Married with children,1,19,9,female
1,229.78,Urban,0,Web,Married,2,20,6,male
10,165.26,Surburban,1,Brick&Mortar,Married with children,3,37,9,male
11,254.91,Surburban,0,Web,Married with children,4,35,4,both
11,123.78,Urban,1,Web,Single,1,27,4,female
7,104.65,Urban,0,Web,Single,2,21,3,male
1,123.38,Surburban,1,Web,Married,6,44,7,male
4,60.82,Surburban,1,Brick&Mortar,Married,4,25,7,male
1,29.99,Rural,1,Brick&Mortar,Single,5,54,3,male
9,340.24,Surburban,0,Brick&Mortar,Single,4,34,6,female
6,441.59,Rural,0,Social,Married with children,4,43,5,male
5,156.06,Rural,1,Web,Married,4,27,8,female
4,102.49,Surburban,0,Brick&Mortar,Married,2,26,3,female
2,106.23,Urban,1,Web,Single,1,27,9,male
11,181.27,Surburban,0,Brick&Mortar,Married,1,20,9,male
3,264.43,Rural,1,Brick&Mortar,Single,3,36,8,male
9,82.96,Surburban,1,Brick&Mortar,Single,5,54,8,female
4,69.1,Urban,0,Brick&Mortar,Married,2,19,4,male
1,173.59,Rural,0,Brick&Mortar,Married with children,2,55,3,male
3,726.29,Rural,1,Social,Married,6,55,1,female
3,141.85,Rural,0,Brick&Mortar,Married,2,27,6,female
5,29.99,Urban,1,Brick&Mortar,Married,3,39,9,male
10,210.59,Urban,1,Brick&Mortar,Single,3,20,6,male
8,389.82,Surburban,1,Web,Married with children,5,19,7,both
1,177.92,Rural,0,Web,Married with children,6,47,7,male
1,782.02,Urban,1,Social,Married with children,6,45,9,male
11,377.57,Urban,0,Brick&Mortar,Married with children,1,50,1,both
10,405.34,Rural,0,Social,Married with children,3,38,4,female
10,29.99,Surburban,0,Web,Married with children,2,23,7,female
6,154.05,Surburban,0,Brick&Mortar,Married,3,36,4,male
10,30.56,Urban,0,Web,Married with children,2,36,3,female
11,344.89,Surburban,0,Brick&Mortar,Single,4,45,3,male
9,57.49,Rural,1,Web,Married with children,2,28,2,female
9,197.99,Surburban,1,Brick&Mortar,Married with children,5,49,7,male
5,131.66,Surburban,0,Web,Single,5,30,7,female
9,168.84,Surburban,1,Web,Married with children,4,41,3,male
11,81.83,Urban,1,Brick&Mortar,Single,1,28,10,male
2,406.96,Surburban,1,Web,Married,1,30,4,male
5,315.22,Surburban,0,Web,Married,2,33,8,female
9,711.71,Surburban,1,Brick&Mortar,Married with children,1,25,2,female
3,279.82,Surburban,1,Web,Married with children,3,31,4,male
4,41.71,Surburban,1,Brick&Mortar,Married with children,6,42,3,female
1,151.12,Urban,1,Brick&Mortar,Married with children,5,23,5,female
2,122.21,Urban,1,Web,Married with children,5,54,9,female
11,213.08,Surburban,1,Web,Single,5,53,6,female
4,56.88,Surburban,1,Brick&Mortar,Married with children,5,51,1,female
2,71.09,Surburban,1,Web,Single,3,35,7,female
1,227.73,Surburban,0,Social,Married with children,1,19,2,male
10,165.78,Rural,0,Brick&Mortar,Single,6,50,3,female
9,120.7,Rural,1,Brick&Mortar,Married,5,55,3,male
7,153.86,Urban,0,Web,Single,4,42,7,female
5,82.75,Rural,0,Web,Married with children,4,24,4,male
5,406.35,Urban,0,Social,Married,2,18,9,male
